drugbank_id	chebi_id	MeSH
DB00202	61219	D013390
DB00202	61225	D013390
DB00203	58987	D000068677
DB00203	9139	D000068677
DB00204	4681	C063533
DB00205	8673	D011739
DB00206	28487	D012110
DB00207	2955	D017963
DB00207	34546	D017963
DB00208	9588	D013988
DB00208	9589	D013988
DB00210	31174	D000068816
DB00211	31847	D008879
DB00211	6933	D008879
DB00211	73243	D008879
DB00213	7915	C064276
DB00214	9637	C026116
DB00215	36791	D015283
DB00215	36792	D015283
DB00215	77397	D015283
DB00215	77405	D015283
DB00215	77406	D015283
DB00215	77408	D015283
DB00215	77422	D015283
DB00215	77423	D015283
DB00216	50922	C115647
DB00216	61176	C115647
DB00216	61177	C115647
DB00217	31279	D001627
DB00217	37937	D001627
DB00218	63611	C104727
DB00218	63699	C104727
DB00218	7008	C104727
DB00220	7496	D019888
DB00220	7497	D019888
DB00220	78767	D019888
DB00222	5383	C057619
DB00223	34764	C014477
DB00223	59750	C014477
DB00224	44032	D019469
DB00225	15377	C064925
DB00225	16234	C064925
DB00225	29374	C064925
DB00225	29375	C064925
DB00225	29412	C064925
DB00225	31642	C064925
DB00225	33806	C064925
DB00225	33811	C064925
DB00225	33813	C064925
DB00225	37333	C064925
DB00225	41981	C064925
DB00225	49618	C064925
DB00226	5555	C004945
DB00226	5556	C004945
DB00226	72602	C004945
DB00227	40303	D008148
DB00228	4792	D004737
DB00229	31374	D015310
DB00229	355510	D015310
DB00230	64356	D000069583
DB00233	27565	D010131
DB00235	34850	D020105
DB00235	50693	D020105
DB00237	3228	C084833
DB00238	63613	D019829
DB00239	77698	C022155
DB00239	7825	C022155
DB00239	7826	C022155
DB00240	53776	C021137
DB00241	102524	C004470
DB00242	567361	D017338
DB00244	20551	C032587
DB00244	20551	C038637
DB00244	20551	D012460
DB00244	20551	D019804
DB00244	6775	C032587
DB00244	6775	C038637
DB00244	6775	D012460
DB00244	6775	D019804
DB00245	3048	D001590
DB00245	3049	D001590
DB00246	10119	C092292
DB00246	32314	C092292
DB00246	53757	C092292
DB00247	584020	D008784
DB00248	3286	C047047
DB00249	147675	D007065
DB00250	4325	D003622
DB00251	82979	C037815
DB00251	82980	C037815
DB00251	82981	C037815
DB00252	8107	D010672
DB00254	34730	D004318
DB00254	50845	D004318
DB00254	60648	D004318
DB00254	652992	D004318
DB00255	41922	D004054
DB00256	59040	D008194
DB00257	3764	D003022
DB00258	15366	C120662
DB00258	29108	C120662
DB00258	30089	C120662
DB00258	3310	C120662
DB00259	45373	C036944
DB00260	23503	D003523
DB00260	40009	D003523
DB00260	74159	D003523
DB00260	75592	D003523
DB00260	75929	D003523
DB00261	142290	C021139
DB00261	55345	C021139
DB00262	3423	D002330
DB00263	102484	D013444
DB00264	6904	D008790
DB00265	31439	C005553
DB00266	4513	D001728
DB00267	31370	D015281
DB00267	55490	D015281
DB00267	55509	D015281
DB00268	8888	C046649
DB00269	3641	D002741
DB00271	31812	C016826
DB00271	31812	D003973
DB00271	53691	C016826
DB00271	53691	D003973
DB00271	53692	C016826
DB00271	53692	D003973
DB00271	59731	C016826
